Domain,Energy (Joules),Duration (s)
package-0,0,0.0004813671112060547
dram-0,0,0.0004813671112060547
package-1,0,0.0004813671112060547
dram-1,0,0.0004813671112060547
package-0,37902,0.0004923343658447266
dram-0,6058,0.0004923343658447266
package-1,29419,0.0004923343658447266
dram-1,3229,0.0004923343658447266
package-0,0,0.0005137920379638672
dram-0,0,0.0005137920379638672
package-1,0,0.0005137920379638672
dram-1,0,0.0005137920379638672
package-0,0,0.0005247592926025391
dram-0,0,0.0005247592926025391
package-1,34667,0.0005247592926025391
dram-1,3167,0.0005247592926025391
package-0,49377,0.00044226646423339844
dram-0,6211,0.00044226646423339844
package-1,45533,0.00044226646423339844
dram-1,4330,0.00044226646423339844
package-0,37598,0.0005421638488769531
dram-0,6243,0.0005421638488769531
package-1,0,0.0005421638488769531
dram-1,0,0.0005421638488769531
package-0,0,0.00049591064453125
dram-0,0,0.00049591064453125
package-1,0,0.00049591064453125
dram-1,0,0.00049591064453125
package-0,37109,0.0004968643188476562
dram-0,6165,0.0004968643188476562
package-1,28748,0.0004968643188476562
dram-1,3258,0.0004968643188476562
package-0,38330,0.0005142688751220703
dram-0,5799,0.0005142688751220703
package-1,24231,0.0005142688751220703
dram-1,3320,0.0005142688751220703
package-0,0,0.00044274330139160156
dram-0,0,0.00044274330139160156
package-1,0,0.00044274330139160156
dram-1,0,0.00044274330139160156
package-0,37597,0.0004949569702148438
dram-0,5860,0.0004949569702148438
package-1,0,0.0004949569702148438
dram-1,0,0.0004949569702148438
package-0,39306,0.0004987716674804688
dram-0,5906,0.0004987716674804688
package-1,28442,0.0004987716674804688
dram-1,3258,0.0004987716674804688
package-0,39123,0.0004742145538330078
dram-0,6303,0.0004742145538330078
package-1,26428,0.0004742145538330078
dram-1,3274,0.0004742145538330078
package-0,0,0.0005235671997070312
dram-0,6120,0.0005235671997070312
package-1,28931,0.0005235671997070312
dram-1,3259,0.0005235671997070312
package-0,0,0.0006072521209716797
dram-0,0,0.0006072521209716797
package-1,28931,0.0006072521209716797
dram-1,3244,0.0006072521209716797
package-0,0,0.0005323886871337891
dram-0,0,0.0005323886871337891
package-1,0,0.0005323886871337891
dram-1,0,0.0005323886871337891
package-0,38086,0.00045561790466308594
dram-0,6289,0.00045561790466308594
package-1,28747,0.00045561790466308594
dram-1,3259,0.00045561790466308594
package-0,37720,0.0005004405975341797
dram-0,6181,0.0005004405975341797
package-1,28625,0.0005004405975341797
dram-1,3351,0.0005004405975341797
package-0,0,0.0004901885986328125
dram-0,0,0.0004901885986328125
package-1,31250,0.0004901885986328125
dram-1,3718,0.0004901885986328125
package-0,41565,0.00048828125
dram-0,6502,0.00048828125
package-1,31738,0.00048828125
dram-1,4238,0.00048828125
package-0,39917,0.0006935596466064453
dram-0,5906,0.0006935596466064453
package-1,36193,0.0006935596466064453
dram-1,3136,0.0006935596466064453
package-0,40161,0.0005147457122802734
dram-0,6319,0.0005147457122802734
package-1,29724,0.0005147457122802734
dram-1,3228,0.0005147457122802734
package-0,0,0.0005025863647460938
dram-0,0,0.0005025863647460938
package-1,0,0.0005025863647460938
dram-1,0,0.0005025863647460938
package-0,0,0.0004649162292480469
dram-0,0,0.0004649162292480469
package-1,28686,0.0004649162292480469
dram-1,3243,0.0004649162292480469
package-0,42419,0.00045108795166015625
dram-0,0,0.00045108795166015625
package-1,0,0.00045108795166015625
dram-1,0,0.00045108795166015625
package-0,0,0.0004696846008300781
dram-0,0,0.0004696846008300781
package-1,0,0.0004696846008300781
dram-1,0,0.0004696846008300781
package-0,0,0.0004565715789794922
dram-0,0,0.0004565715789794922
package-1,0,0.0004565715789794922
dram-1,0,0.0004565715789794922
package-0,36987,0.000492095947265625
dram-0,5998,0.000492095947265625
package-1,28381,0.000492095947265625
dram-1,3244,0.000492095947265625
package-0,47912,0.00041675567626953125
dram-0,6150,0.00041675567626953125
package-1,30091,0.00041675567626953125
dram-1,3274,0.00041675567626953125
package-0,33448,0.0005233287811279297
dram-0,6196,0.0005233287811279297
package-1,28565,0.0005233287811279297
dram-1,3244,0.0005233287811279297

pkg_0:  [0, 37902, 0, 0, 49377, 37598, 0, 37109, 38330, 0, 37597, 39306, 39123, 0, 0, 0, 38086, 37720, 0, 41565, 39917, 40161, 0, 0, 42419, 0, 0, 36987, 47912, 33448]
pkg_1:  [0, 29419, 0, 34667, 45533, 0, 0, 28748, 24231, 0, 0, 28442, 26428, 28931, 28931, 0, 28747, 28625, 31250, 31738, 36193, 29724, 0, 28686, 0, 0, 0, 28381, 30091, 28565]
dram_0:  [0, 6058, 0, 0, 6211, 6243, 0, 6165, 5799, 0, 5860, 5906, 6303, 6120, 0, 0, 6289, 6181, 0, 6502, 5906, 6319, 0, 0, 0, 0, 0, 5998, 6150, 6196]
dram_1:  [0, 3229, 0, 3167, 4330, 0, 0, 3258, 3320, 0, 0, 3258, 3274, 3259, 3244, 0, 3259, 3351, 3718, 4238, 3136, 3228, 0, 3243, 0, 0, 0, 3244, 3274, 3244]
Average energy for package-0: 0.022485233333333333 microjoules
Average energy for package-1: 0.019244333333333332 microjoules
Average energy for dram-0: 0.003473533333333333 microjoules
Average energy for dram-1: 0.0021424666666666667 microjoules


Total Package Energy: 1.251887 joules
Total Dram Energy: 0.16848 joules


Total Package Energy: 0.12518869999999999 joules
Total Dram Energy: 0.016848000000000002 joules
