Domain,Energy (Joules),Duration (s)
package-0,0,0.0004360675811767578
dram-0,0,0.0004360675811767578
package-1,0,0.0004360675811767578
dram-1,0,0.0004360675811767578
package-0,39246,0.0003345012664794922
dram-0,5921,0.0003345012664794922
package-1,27405,0.0003345012664794922
dram-1,3259,0.0003345012664794922
package-0,0,0.0003342628479003906
dram-0,0,0.0003342628479003906
package-1,0,0.0003342628479003906
dram-1,0,0.0003342628479003906
package-0,38025,0.0003364086151123047
dram-0,6349,0.0003364086151123047
package-1,31311,0.0003364086151123047
dram-1,3228,0.0003364086151123047
package-0,0,0.00032639503479003906
dram-0,0,0.00032639503479003906
package-1,0,0.00032639503479003906
dram-1,0,0.00032639503479003906
package-0,36316,0.00033164024353027344
dram-0,5937,0.00033164024353027344
package-1,27893,0.00033164024353027344
dram-1,3335,0.00033164024353027344
package-0,39733,0.0003879070281982422
dram-0,5707,0.0003879070281982422
package-1,29602,0.0003879070281982422
dram-1,3259,0.0003879070281982422
package-0,0,0.00033402442932128906
dram-0,0,0.00033402442932128906
package-1,28992,0.00033402442932128906
dram-1,0,0.00033402442932128906
package-0,37231,0.0003790855407714844
dram-0,5998,0.0003790855407714844
package-1,30884,0.0003790855407714844
dram-1,3229,0.0003790855407714844
package-0,39123,0.0003294944763183594
dram-0,5967,0.0003294944763183594
package-1,0,0.0003294944763183594
dram-1,0,0.0003294944763183594
package-0,0,0.00038170814514160156
dram-0,0,0.00038170814514160156
package-1,0,0.00038170814514160156
dram-1,0,0.00038170814514160156
package-0,39246,0.0003273487091064453
dram-0,5692,0.0003273487091064453
package-1,0,0.0003273487091064453
dram-1,0,0.0003273487091064453
package-0,0,0.0003666877746582031
dram-0,0,0.0003666877746582031
package-1,0,0.0003666877746582031
dram-1,0,0.0003666877746582031
package-0,0,0.00037550926208496094
dram-0,6105,0.00037550926208496094
package-1,0,0.00037550926208496094
dram-1,0,0.00037550926208496094
package-0,0,0.0004267692565917969
dram-0,0,0.0004267692565917969
package-1,0,0.0004267692565917969
dram-1,0,0.0004267692565917969
package-0,40283,0.00037217140197753906
dram-0,6242,0.00037217140197753906
package-1,0,0.00037217140197753906
dram-1,0,0.00037217140197753906
package-0,35766,0.0004246234893798828
dram-0,6090,0.0004246234893798828
package-1,31311,0.0004246234893798828
dram-1,3427,0.0004246234893798828
package-0,0,0.00032329559326171875
dram-0,0,0.00032329559326171875
package-1,0,0.00032329559326171875
dram-1,0,0.00032329559326171875
package-0,0,0.0003173351287841797
dram-0,5799,0.0003173351287841797
package-1,22339,0.0003173351287841797
dram-1,3320,0.0003173351287841797
package-0,39856,0.000362396240234375
dram-0,6074,0.000362396240234375
package-1,26489,0.000362396240234375
dram-1,0,0.000362396240234375
package-0,0,0.00032711029052734375
dram-0,0,0.00032711029052734375
package-1,0,0.00032711029052734375
dram-1,0,0.00032711029052734375
package-0,0,0.00033473968505859375
dram-0,0,0.00033473968505859375
package-1,0,0.00033473968505859375
dram-1,0,0.00033473968505859375
package-0,0,0.0003228187561035156
dram-0,0,0.0003228187561035156
package-1,0,0.0003228187561035156
dram-1,0,0.0003228187561035156
package-0,0,0.0005922317504882812
dram-0,0,0.0005922317504882812
package-1,35583,0.0005922317504882812
dram-1,3289,0.0005922317504882812
package-0,0,0.00038623809814453125
dram-0,0,0.00038623809814453125
package-1,0,0.00038623809814453125
dram-1,0,0.00038623809814453125
package-0,39672,0.0003256797790527344
dram-0,5982,0.0003256797790527344
package-1,28381,0.0003256797790527344
dram-1,3244,0.0003256797790527344
package-0,0,0.00033593177795410156
dram-0,0,0.00033593177795410156
package-1,0,0.00033593177795410156
dram-1,0,0.00033593177795410156
package-0,0,0.00037097930908203125
dram-0,5982,0.00037097930908203125
package-1,28381,0.00037097930908203125
dram-1,3259,0.00037097930908203125
package-0,0,0.0003190040588378906
dram-0,0,0.0003190040588378906
package-1,26550,0.0003190040588378906
dram-1,3274,0.0003190040588378906
package-0,0,0.0003819465637207031
dram-0,0,0.0003819465637207031
package-1,0,0.0003819465637207031
dram-1,0,0.0003819465637207031

pkg_0:  [0, 39246, 0, 38025, 0, 36316, 39733, 0, 37231, 39123, 0, 39246, 0, 0, 0, 40283, 35766, 0, 0, 39856, 0, 0, 0, 0, 0, 39672, 0, 0, 0, 0]
pkg_1:  [0, 27405, 0, 31311, 0, 27893, 29602, 28992, 30884, 0, 0, 0, 0, 0, 0, 0, 31311, 0, 22339, 26489, 0, 0, 0, 35583, 0, 28381, 0, 28381, 26550, 0]
dram_0:  [0, 5921, 0, 6349, 0, 5937, 5707, 0, 5998, 5967, 0, 5692, 0, 6105, 0, 6242, 6090, 0, 5799, 6074, 0, 0, 0, 0, 0, 5982, 0, 5982, 0, 0]
dram_1:  [0, 3259, 0, 3228, 0, 3335, 3259, 0, 3229, 0, 0, 0, 0, 0, 0, 0, 3427, 0, 3320, 0, 0, 0, 0, 3289, 0, 3244, 0, 3259, 3274, 0]
Average energy for package-0: 0.014149899999999998 microjoules
Average energy for package-1: 0.012504033333333333 microjoules
Average energy for dram-0: 0.0027948333333333336 microjoules
Average energy for dram-1: 0.0012040999999999998 microjoules

Total Package Energy: 0.7996179999999999 joules
Total Dram Energy: 0.11996799999999999 joules

Total Package Energy: 0.0799618 joules
Total Dram Energy: 0.011996799999999998 joules
